t,q1,q2,dq1,dq2,u1,u2,infer_ms
0.0,-0.020083866498259616,0.14351039415239317,0.018924982827066256,0.3827243388297552,0.023829177021980286,0.008100293576717377,10.955488000035984
0.05,-1.7239443229372965e-05,0.15016373408508438,0.7361000859380222,-0.007987679040200021,0.019591018557548523,0.003620520234107971,15.796632999808935
0.1,0.05222113330874704,0.12851476208729937,1.3058683185821596,-0.8019120555660032,0.014047995209693909,4.410743713378906e-06,10.827164000147604
0.15000000000000002,0.12402905890647273,0.06542248824441688,1.4995279445844376,-1.62262608856635,0.02587912231683731,0.006259940564632416,12.369691999992938
0.2,0.19996793449337733,-0.007305750706856209,1.4760915634887324,-1.2058313939948788,0.01496906578540802,0.0016926378011703491,13.638868000271032
0.25,0.2595302818833954,-0.056116854999197795,0.8607995288252155,-0.6957584782401125,0.02416285127401352,0.008876621723175049,11.943789000724792
0.30000000000000004,0.2839307770928813,-0.05318787850887827,0.13015035973369277,0.716177559948077,0.03422904759645462,0.020048066973686218,12.103858000045875
0.35000000000000003,0.27462495705400153,0.04754326417076404,-0.4670481406363364,3.1727151330015895,0.010562382638454437,-0.0058158040046691895,10.715951000747737
0.4,0.2583021440543171,0.13272554231084183,-0.19848292904291065,0.26660883857371187,0.012849077582359314,-0.0019387155771255493,10.7905020004182
0.45,0.2470571809638731,0.10621949107512954,-0.25606139242136766,-1.276983593276745,0.04229672998189926,0.00836808979511261,10.15964099951816
0.5,0.24780293946283424,0.0273237017599545,0.2204174284708685,-1.7313010318112196,0.04267909377813339,0.00723431259393692,9.952820999387768
0.55,0.269670700407494,-0.06660501548217941,0.6264811538557344,-1.936553811058316,0.043804965913295746,0.015464946627616882,10.583205999864731
0.6000000000000001,0.29331898953739505,-0.10994661306737431,0.3385069508310603,0.11634784759244635,0.033856697380542755,0.004335783421993256,11.471476999759034
0.65,0.31116821956857427,-0.10878605232624541,0.34322208968762125,-0.00211470187153806,0.02904392033815384,0.007614590227603912,11.69023000056768
0.7000000000000001,0.31725523220710306,-0.08964598658468283,-0.012704949657529961,0.6201852531946396,0.025963790714740753,0.0031716376543045044,14.720554000632546
0.75,0.31696773532225325,-0.0744584262945105,-0.014804038117923867,0.03610165218071931,0.028880052268505096,0.0032481104135513306,16.498801999659918
0.8,0.31671690890454207,-0.08246495204872883,-0.002695515785168328,-0.3357721954269254,0.028031878173351288,-0.010807275772094727,11.508847999721183
0.8500000000000001,0.3347066849461123,-0.18078841164579434,0.6743551601303076,-3.4364796949868337,-0.00017730146646499634,-0.02501831203699112,9.479798999564082
0.9,0.3648802821432085,-0.4374643608154617,0.43753133829223867,-6.508108562758284,-0.0655718594789505,-0.07202716171741486,12.067737000506895
0.9500000000000001,0.3619120565975384,-0.9537070837115942,-0.8273968722210535,-13.395712585529429,-0.04252048209309578,-0.04849914461374283,13.932468999882985
1.0,0.24631679481332905,-1.6127543487431824,-3.8907200083171567,-12.660826022745608,-0.02912067621946335,0.008420310914516449,15.413730000545911
1.05,-0.056637880354673965,-1.9802659098415851,-7.658773917344373,-2.69654263753023,-0.02977938950061798,0.018105946481227875,15.8072539998102
1.1,-0.47782239179393965,-1.9044472269273476,-8.726861319123401,5.150738253186705,0.08999592810869217,0.04229580610990524,13.278702000206977
1.1500000000000001,-0.7632188535162882,-1.5515360842037034,-2.6128756597320573,8.515301849921968,0.09989704936742783,0.08027336746454239,12.673850000282982
1.2000000000000002,-0.8018607881382559,-0.8693651650516027,0.46942150732469323,19.350145133037653,0.09918711334466934,0.08649928122758865,15.076018999934604
1.25,-0.7510754938294008,0.4236835581143398,2.555482417549317,30.376951926557183,-0.10000000149011612,-0.06941185891628265,15.714752999883785
1.3,-0.4364425580911546,1.3751934692234267,9.13853891852883,8.303530100406773,-0.03736665099859238,-0.06664179265499115,15.607528000145976
1.35,0.12739994518818953,1.279269444164953,12.519980113285134,-11.264548395127925,0.0322171226143837,0.0026184692978858948,16.22075399973255
1.4000000000000001,0.7492072936952733,0.5893509599538971,11.917701061348149,-15.46149449585651,0.06269253045320511,-0.038305968046188354,9.77747199976875
1.4500000000000002,1.4006932236496519,-0.4776551860600431,13.630549326902077,-25.693979721041313,0.10000000149011612,0.04373972862958908,11.381975999938732
1.5,1.98599056792064,-1.4494100268495145,10.16696194703458,-13.752884949647381,0.09990856796503067,0.10000000149011612,11.202407999917341
1.55,2.380696439525244,-1.6545721475615993,5.851963397760241,4.632306836043611,0.09979686886072159,0.07741724699735641,10.874718000195571
1.6,2.5959479557858485,-1.1456424864302737,2.605970542711539,15.532965889688729,0.03085464984178543,0.004693351686000824,11.02460299989616
1.6500000000000001,2.676635893770112,-0.41733951896866645,0.9817419418485901,13.36003359876847,-0.006033770740032196,-0.017880357801914215,11.8871049999143
1.7000000000000002,2.708146145974249,0.12280161223562126,0.3500108428133736,8.526672585974703,-0.004028931260108948,-0.02114863693714142,10.013997999521962
1.75,2.718937129590894,0.446250016618086,0.041141638127936205,4.734322259987358,0.008265472948551178,-0.022047027945518494,10.037082999588165
1.8,2.7243179161073674,0.5967104066598367,0.12506819670564773,1.494964420791523,0.024472855031490326,-0.013907350599765778,10.342225999920629
1.85,2.7361436112687225,0.6287709641232787,0.3165501074708759,-0.07535443559568294,0.0346452072262764,-0.00964190810918808,12.555971999972826
1.9000000000000001,2.76128208938465,0.6031335647068183,0.703273129444494,-0.9596831508908189,0.04347873479127884,-0.00405602902173996,10.806281999975909
1.9500000000000002,2.810955679200805,0.5473527162901148,1.3213626697220895,-1.325086864790581,0.00562421977519989,-0.013592764735221863,11.447885000052338
2.0,2.8622599008875462,0.47759206686837247,0.7732076133187726,-1.5290417152010163,0.03976135700941086,9.313970804214478e-05,10.563160999481624
2.0500000000000003,2.9143858795529094,0.4073559982821531,1.3570767560325288,-1.3592158159682923,-0.01480095088481903,-0.016343578696250916,11.169428000357584
2.1,2.9568502261173837,0.33719687633236417,0.3794514964124741,-1.512008020481585,0.03620780259370804,0.003303252160549164,11.438131999966572
2.15,2.98951909052426,0.27390810046383934,0.9600278255940468,-1.0920927018330244,-0.01573067158460617,-0.01262170821428299,11.654076000013447
2.2,3.0135045869690074,0.22288985147887502,0.06204069623292181,-1.0536439292378281,0.03398940712213516,0.005640603601932526,12.326957999903243
2.25,3.0301508236724173,0.18479695980280453,0.6235335385098256,-0.5192485497908107,-0.015742942690849304,-0.010313138365745544,10.37465500030521
2.3000000000000003,3.040238341012233,0.16150699318261288,-0.12266731702926259,-0.5570503225094091,0.03141894191503525,0.006035409867763519,11.895929000274919
2.35,3.0472450740002572,0.14633158036481156,0.40990633413413796,-0.07203021480213195,-0.015601709485054016,-0.009655728936195374,12.553147000289755
2.4000000000000004,3.050067544023147,0.1405626178320761,-0.21827453788991924,-0.2683796776895637,0.029893659055233,0.0056079477071762085,13.454456000545179
2.45,3.054171927881565,0.13405571191682453,0.37093401112069907,-0.009619282825675297,-0.016060739755630493,-0.009493984282016754,11.271696999756387
2.5,3.0558321319071093,0.12957232408688113,-0.238512901979799,-0.24838666198359174,0.029198117554187775,0.005699954926967621,12.670389999584586
2.5500000000000003,3.0590404940176934,0.12355660683394337,0.34972205775898285,-0.00733351407133173,-0.016008548438549042,-0.009082332253456116,13.016388999858464
2.6,3.0599762118320646,0.11942043446105062,-0.25231584084868924,-0.22489937407785915,0.028754718601703644,0.0058006420731544495,13.717670999540132
2.6500000000000004,3.0626312809819347,0.11400185466185185,0.3378791624622291,-0.005430091955980235,-0.015950269997119904,-0.008642300963401794,10.320360999685363
2.7,3.0630509233662297,0.11053137065403712,-0.2664288058119698,-0.18746644973119794,0.028454147279262543,0.0059661418199539185,11.828190000414907
2.75,3.0652375221480916,0.10626741592031115,0.33201731967778103,-0.002013248099372535,-0.01593983918428421,-0.008311942219734192,11.607559000367473
2.8000000000000003,3.0653677759461675,0.10338427128505567,-0.27608256705971373,-0.15732828067061416,0.028152577579021454,0.006131663918495178,11.550456999430025
2.85,3.0672206407650435,0.10002738907792393,0.32705400149758473,0.00037150771319699504,-0.016096681356430054,-0.008086040616035461,12.338734999502776
2.9000000000000004,3.0669696831391913,0.09763774136838234,-0.290178642400423,-0.13120454717220684,0.028063632547855377,0.006227120757102966,11.41514100072527
2.95,3.068437209022255,0.09482317752085453,0.3218302391467384,0.0012972076456495016,-0.015750527381896973,-0.007751762866973877,10.811293000188016
3.0,3.068087876979445,0.09288420508341234,-0.29087595728218957,-0.10815378916627454,0.027724094688892365,0.006334364414215088,13.16912600032083
3.0500000000000003,3.0694678368571897,0.09077270249599992,0.3163235527996183,0.011513168208222407,-0.015746071934700012,-0.007538340985774994,13.473361000251316
3.1,3.06884322746429,0.0894651157604774,-0.3006024373218088,-0.0811178690992238,0.027634210884571075,0.006276629865169525,13.354284000342886
3.1500000000000004,3.07001735256429,0.08775750499775942,0.3151161468489089,0.005968540513005825,-0.015876159071922302,-0.007451653480529785,12.062294000315887
3.2,3.069134106780083,0.08656060655688268,-0.31068731932093374,-0.07072789868717695,0.02771029621362686,0.006454452872276306,13.529646999813849
3.25,3.069959313985171,0.0852469481921262,0.30778466155024264,0.0173864581234239,-0.015273727476596832,-0.007130838930606842,12.744091999593365
3.3000000000000003,3.0690194170637173,0.08492201569530089,-0.3064176664424589,-0.043360250472950924,0.027516700327396393,0.006428822875022888,11.162225000589387
3.35,3.070012243854621,0.08434750576007247,0.30907514111245804,0.026038468070837907,-0.015090152621269226,-0.006980046629905701,11.438274000283855
3.4000000000000004,3.0691774334831634,0.08462587242758675,-0.3039098803144365,-0.024051622343980075,0.0275530144572258,0.006341435015201569,12.870346999989124
3.45,3.0705048444721754,0.08426519405647853,0.32088514534132045,0.016335321324730763,-0.015884295105934143,-0.007230795919895172,11.797981000199798
3.5,3.0696155009006123,0.08422287834644661,-0.3171313865491806,-0.029985430709877036,0.027560986578464508,0.006378494203090668,14.597442999729537
3.5500000000000003,3.0703852140093275,0.08372316234370156,0.30939377379467536,0.017365910170412616,-0.015016704797744751,-0.0069193243980407715,14.20454500021151
3.6,3.0695658147102183,0.08383565200947869,-0.3031632934142601,-0.02362750257125113,0.027582503855228424,0.006459377706050873,13.45195199974114
3.6500000000000004,3.070871837119156,0.08379170770125074,0.3184939954281702,0.03169251187991822,-0.016014061868190765,-0.007318407297134399,13.910030999795708
3.7,3.0699496761340233,0.08398542871816028,-0.3167621518324634,-0.033640926689979624,0.027460195124149323,0.0063004270195961,13.715019999835931
3.75,3.0706982697167278,0.08325747027220103,0.30886243062014246,0.00943438936737552,-0.014022201299667358,-0.006513461470603943,13.930999999502092
3.8000000000000003,3.07042545278738,0.08346571672660412,-0.2787890470710669,-0.012401960882205207,0.027238421142101288,0.006294414401054382,14.379576000465022
3.85,3.072666419550609,0.08356245391330878,0.3360913641275883,0.024762820587175063,-0.016409143805503845,-0.007465749979019165,15.037715000289609
3.9000000000000004,3.072357623771479,0.08340448447116347,-0.3064342866126925,-0.04490901468652254,0.02731383591890335,0.006368555128574371,14.655310999842186
3.95,3.0734805330747936,0.08263979288211741,0.315427439246467,0.017509524597995728,-0.01642182469367981,-0.0074123963713645935,13.394252000580309
4.0,3.0723117273459963,0.082288408953457,-0.3239207390095905,-0.044324005958176343,0.027294881641864777,0.006394907832145691,14.970846000323945
4.05,3.072682980354899,0.08149020407979633,0.2991770097730797,0.018377226531147654,-0.015498585999011993,-0.007031545042991638,15.161059000092791
4.1000000000000005,3.0712957334157,0.08150024278117245,-0.3180974893928726,-0.028132785420597977,0.027364663779735565,0.006352856755256653,16.378149999582092
4.15,3.07200723749168,0.08095777479610536,0.30793058125902695,0.013505741093008849,-0.01586027443408966,-0.007138192653656006,13.357148000068264
4.2,3.0706472927461657,0.08083011754231875,-0.3251588725231093,-0.030126362817507087,0.02739659696817398,0.006527803838253021,13.754276999861759
4.25,3.070871410911903,0.08072071679352426,0.29236124701899957,0.0380482309617165,-0.012721642851829529,-0.005966506898403168,13.201112000388093
4.3,3.070912715880145,0.0817804057402717,-0.2500403820313023,-0.0026143854743241133,0.027210481464862823,0.006283745169639587,16.660493000017595
4.3500000000000005,3.074370543580881,0.08210301910317418,0.36221194880656826,0.023317297246609223,-0.017329707741737366,-0.007755570113658905,14.085180999245495
4.4,3.074694705156052,0.08170327625735371,-0.30455029323178456,-0.055167020656200244,0.026922710239887238,0.006360091269016266,12.4608989999615
4.45,3.0756753603279683,0.0808328149667477,0.30749600132294186,0.023087670346692603,-0.01655658334493637,-0.007429972290992737,11.527710999871488
4.5,3.074289097298921,0.0805237802194354,-0.32589931485264306,-0.04719638527730101,0.027126379311084747,0.006340183317661285,13.571986999522778
4.55,3.074604179247952,0.07950887053669631,0.2992153681874621,0.010879235568435602,-0.015675947070121765,-0.00699065625667572,13.459777999742073
4.6000000000000005,3.0731347830382614,0.0794538387423822,-0.32158084168484435,-0.0238997256154078,0.02707061916589737,0.006415501236915588,15.936633999444894
4.65,3.073545490027928,0.07932689033041075,0.29707816724981584,0.030558887390519138,-0.015283569693565369,-0.006810702383518219,17.035279000083392
