method,n_nominal_trials,success_rate,time_to_success_s_mean,iae_angle_mean,iae_angle_std,final_angle_err_mean,ss_angle_err_mean,ss_state_std_mean,held_to_end_rate,mean_abs_du_mean,control_tv_mean,rms_jerk_mean,mean_abs_u_mean,infer_ms_mean,infer_ms_std,control_hz_mean
bc,8,1.0,4.6625,8.912502315226382,3.115800299940326,0.05458702867792059,0.05918557634801941,0.00292627079345659,1.0,0.0017341407098040314,1.7306724283844233,0.15543086605079076,0.00453704472957179,1.1586872929963192,0.0969568833849708,868.5728931313597
diffusion,8,1.0,4.7875,8.90736372918761,4.790759549335466,0.12456484832501945,0.09046471861795707,0.019323706324283575,1.0,0.02751535891773616,27.460328199900687,0.6569676474429289,0.015774038586299867,13.031190853750786,3.840920149593518,81.01032531332876
