success,time_to_success_s,iae_angle,final_angle_err,ss_angle_err,ss_state_std,held_to_end,mean_abs_du,control_tv,rms_jerk,mean_abs_u,mean_infer_ms,control_hz,total_steps,method,noise_sigma,trial
1,8.55,22.3429939147937,0.07666657644239132,0.0744565791055506,0.001451318364293254,1,0.004483387941767075,4.474421165883541,0.27538592064169376,0.010284814290702342,0.9313757919953787,1073.680472044051,500,bc,0.0,0
1,7.050000000000001,17.88430228456995,0.06781703277516046,0.07604185166975637,0.002836531450256835,1,0.003500640048889932,3.4936387687921524,0.24129682567578847,0.008266340203583241,0.826001906005331,1210.6509594344036,500,bc,0.0,1
1,7.4,18.155405141718827,0.06552157606986526,0.07316994835207064,0.002662523072894281,1,0.004416432940888262,4.407600075006485,0.29169219462639945,0.008403648067265748,0.7838789119823559,1275.7072357911686,500,bc,0.0,2
1,11.350000000000001,29.78340413830588,0.05091529929005532,0.04688372211017097,0.002064553414213025,1,0.0076277240633008956,7.6124686151742935,0.3839267822792549,0.013793312765657902,0.8251669600185778,1211.8759577788792,500,bc,0.0,3
1,6.3500000000000005,14.196165259877716,0.014521217514225592,0.010565727941412858,0.0021697620429452892,1,0.0029915436758904275,2.9855605885386467,0.22650084471278126,0.00656672502681613,0.7454710040237842,1341.4337976961679,500,bc,0.0,4
1,6.9,16.026301714315093,0.06107045322177433,0.056379584767473644,0.0020077361258042784,1,0.003357443532986727,3.3507286459207535,0.25065363001449026,0.0076288566365838055,0.6623019499811562,1509.885332556324,500,bc,0.0,5
1,4.9,8.210061126890212,0.00681779083060241,0.002972152683280093,0.0016171200344806194,1,0.001786388176864756,1.7828154005110264,0.17292494534017125,0.004175985634326935,0.7456379239974922,1341.1335016851467,500,bc,0.0,6
1,4.15,6.973542548918928,0.06012139541981008,0.05507297418843349,0.0017703534892789387,1,0.0012720109510397863,1.2694669291377068,0.13781186807744678,0.0031513428315520287,0.692063929998767,1444.953214079199,500,bc,0.0,7
1,4.8500000000000005,9.326249074825208,0.06277666588248136,0.060562296197569004,0.03400736563392146,1,0.007718060359746994,7.7026242390275,0.2582496508269619,0.0076977499127388,0.7496239960000821,1334.0021201774475,500,bc,0.025,0
1,3.7,6.010024471532817,0.057624071324117176,0.042526401306285634,0.025744558981695604,1,0.0071912845652662444,7.176901996135712,0.22040916448267345,0.006096305429935455,0.6983914760066909,1431.8616912649998,500,bc,0.025,1
1,5.65,11.808262120088699,0.048047689856405285,0.060945153873835096,0.03497660020025051,1,0.007778090075823013,7.762533895671368,0.265704485513985,0.008519978150725365,0.6848149580082463,1460.248477790928,500,bc,0.025,2
1,3.8000000000000003,6.436244488601284,0.034318126173671845,0.05058701324193554,0.021572419571480532,1,0.006905123516767918,6.891313269734383,0.21332134168581884,0.006009852722287178,0.6701383199997508,1492.2292460463564,500,bc,0.025,3
0,,14.383654383571354,0.08666354609307927,,,0,0.015258191911156526,15.227675527334213,0.4355682575885319,0.01373100034147501,0.6969883199935794,1434.7442723419124,500,bc,0.05,0
0,,7.805667562769779,0.16878845354149438,,,0,0.014595732570650104,14.566541105508804,0.4063698279808437,0.011583455171436071,0.6709345020017281,1490.4584531224843,500,bc,0.05,1
0,,13.708662837240372,0.18041869618632855,,,0,0.01478893778665749,14.759359911084175,0.4252446227317271,0.013959032103419304,0.658063462001337,1519.6102773412579,500,bc,0.05,2
0,,10.196273972548981,0.14423119217224295,,,0,0.01542670845627068,15.395855039358139,0.43566854554681955,0.012747921526432037,0.731185750010809,1367.6415329281474,500,bc,0.05,3
0,,12.165159225933413,0.16513086796351037,,,0,0.02882348211530693,28.765835151076317,0.7559468283933443,0.02294734539091587,0.8014326220009025,1247.7655295629754,500,bc,0.1,0
0,,10.374908485333846,0.19598386920238034,,,0,0.02793689967993505,27.88102588057518,0.7338106296180443,0.022026200916618107,0.788535043997399,1268.174455418748,500,bc,0.1,1
0,,24.773495341589562,0.20118059902219096,,,0,0.0274188073019764,27.363969687372446,0.7377757513979355,0.024943068124353887,0.7237319839969132,1381.7269681482878,500,bc,0.1,2
0,,10.98017618887571,0.25533098527424497,,,0,0.031000760620933973,30.938759099692106,0.8152172422455867,0.023224035758525132,0.699773020007342,1429.034803298801,500,bc,0.1,3
