success,time_to_success_s,iae_angle,final_angle_err,ss_angle_err,ss_state_std,held_to_end,mean_abs_du,control_tv,rms_jerk,mean_abs_u,mean_infer_ms,control_hz,total_steps,model,noise_sigma,trial
1,3.9000000000000004,7.750953252041464,0.15008324628347153,0.15133171617389518,0.0012748628026128762,1,0.028562380213715988,28.505255453288555,0.6679545880894473,0.01553512030467391,8.566342758002065,116.7359313361436,500,T20_L2d128ff512_H10_ne1,0.0,0
1,5.5,11.86747284968575,0.15050587302945628,0.1191885825345794,0.03815794751576151,1,0.02733662787951783,27.281954623758793,0.6460540342152182,0.015946288034319876,6.255362311985664,159.86284249018442,500,T20_L2d128ff512_H10_ne1,0.0,1
1,7.9,16.689796678739526,0.15143380404116819,0.07261369821036527,0.04005091173805518,1,0.02968407622379865,29.62470807135105,0.7709981544158657,0.019665453266352415,6.739595427983659,148.37685892062194,500,T20_L2d128ff512_H10_ne1,0.0,2
1,3.95,5.726481074201914,0.03893824830971269,0.042649014938523785,0.013503348222012518,1,0.02591937707964786,25.867538325488567,0.6328405702824206,0.014843932792544364,6.436637216009331,155.3606279864244,500,T20_L2d128ff512_H10_ne1,0.0,3
1,4.9,10.106400730337453,0.1492415067314871,0.11999395034609076,0.0364858678113667,1,0.027244813822374075,27.190324194729328,0.6467315131741093,0.015822985004633666,6.494803879948449,153.96923732944762,500,T20_L2d128ff512_H10_ne1,0.0,4
1,4.45,8.238895830315125,0.1517449570160168,0.09400311545864322,0.04670911639432689,1,0.02671028081633763,26.656860254704952,0.6419503685290785,0.015390165194869042,6.459052617998168,154.82146672926882,500,T20_L2d128ff512_H10_ne1,0.0,5
1,3.95,7.637855592186707,0.1515116829007446,0.15087587519235063,0.001387269567759993,1,0.028434302605584053,28.377434000372887,0.6627120101124829,0.015503997445106506,6.376224120007464,156.83263028069806,500,T20_L2d128ff512_H10_ne1,0.0,6
1,3.75,5.0569465280314745,0.03293039179467716,0.03387307859891022,0.02017830884496976,1,0.02811554786497223,28.059316769242287,0.6632873121501346,0.01557252836599946,6.419389206019332,155.7780604831251,500,T20_L2d128ff512_H10_ne1,0.0,7
1,10.100000000000001,7.932908391561812,0.04019122540230395,0.06879512048985864,0.04126283025388745,1,0.02209289700449827,22.048711210489273,0.5736127409978473,0.014207504492253066,6.350450251948132,157.46914948168114,500,T20_L2d128ff512_H10_ne1,0.02,0
1,5.65,5.606993644735567,0.05980463251817707,0.06228916021559766,0.03735404676075707,1,0.023199250850684656,23.152852348983288,0.5902017285221391,0.014207944564521314,6.568290702000013,152.24661108490596,500,T20_L2d128ff512_H10_ne1,0.02,1
1,5.25,5.676301513645626,0.059399077172534454,0.07531187715369717,0.04622709836182734,1,0.022775958499354206,22.7304065823555,0.5814267471419822,0.014074275199323893,6.374615730002915,156.8722009851318,500,T20_L2d128ff512_H10_ne1,0.02,2
1,9.15,10.8526233247924,0.07219138118509061,0.07700784173653843,0.03665475669603742,1,0.02383678699871581,23.78911342471838,0.6414968849302084,0.01583751555904746,6.368415838000146,157.02492196458496,500,T20_L2d128ff512_H10_ne1,0.02,3
0,,9.07288261653484,0.03195349096058784,,,0,0.021754362084762845,21.71085336059332,0.5792904496075995,0.015070472911000252,6.324087316032092,158.125583981884,500,T20_L2d128ff512_H10_ne1,0.03,0
1,13.8,30.52170152673552,0.10092744341185775,0.4906341920921501,1.388270437512199,1,0.022047989846828705,22.003893867135048,0.6724989441875496,0.02287516327947378,6.343904109986397,157.63163860340006,500,T20_L2d128ff512_H10_ne1,0.03,1
0,,17.425167334570467,0.06940215894422022,,,0,0.021251310663435885,21.208808042109013,0.5933124581293826,0.01683705134689808,6.334024148009121,157.87751619392154,500,T20_L2d128ff512_H10_ne1,0.03,2
1,15.700000000000001,18.219638920495452,3.8430898910290403,0.6633498568378565,0.8934116679244242,0,0.024961976890633245,24.91205293685198,0.7188562342416804,0.019090822890400885,6.325310480002372,158.09500627068428,500,T20_L2d128ff512_H10_ne1,0.03,3
0,,34.12209392835399,0.9144996071516933,,,0,0.023792353796516966,23.74476908892393,0.7145898237767938,0.02362687323614955,6.350861836001059,157.45894428553166,500,T20_L2d128ff512_H10_ne1,0.04,0
0,,26.55372019442501,2.5409606948568784,,,0,0.020980023026824713,20.938062980771065,0.6424040941959202,0.021817483492195606,6.4741067700015265,154.46146248832474,500,T20_L2d128ff512_H10_ne1,0.04,1
0,,37.44139004388364,0.7645803185037003,,,0,0.019961638103625577,19.921714827418327,0.6336169170417697,0.024035779975354672,6.32970145199215,157.98533431387503,500,T20_L2d128ff512_H10_ne1,0.04,2
0,,36.94649857832189,2.994962287230872,,,0,0.0220384950299779,21.994418039917946,0.660005338877284,0.021531194381415843,6.333504749993153,157.89046341223334,500,T20_L2d128ff512_H10_ne1,0.04,3
0,,14.95073270808351,0.15198187195761542,,,0,0.023277185917020084,23.230631545186043,0.6495275972004105,0.01724768539890647,6.324410956029169,158.11749219849207,500,T20_L2d128ff512_H10_ne1,0.05,0
0,,32.80091092180449,2.810632513362036,,,0,0.02414130454580626,24.09302193671465,0.7337484966932092,0.02251150369271636,7.382041541995932,135.4638814088309,500,T20_L2d128ff512_H10_ne1,0.05,1
0,,24.588459484664153,1.7005906635037689,,,0,0.02393992207869738,23.892042234539986,0.708793826941698,0.02164346398040652,7.37789513795542,135.5400126054275,500,T20_L2d128ff512_H10_ne1,0.05,2
0,,22.092790069974352,3.4580889657707035,,,0,0.023392456492226207,23.345671579241753,0.6963529351764712,0.021071635823696852,7.581787944023745,131.89501043592736,500,T20_L2d128ff512_H10_ne1,0.05,3
1,7.15,11.17251214162026,0.11625226141529184,0.07926371611447819,0.046025241524149725,1,0.020096705043184494,20.056511633098125,0.6008495196832736,0.01452424517273903,3.8817154339940316,257.61806010881776,500,T20_L2d128ff512_H10_ne2,0.0,0
1,6.95,30.432879347372673,0.08456063602384456,1.0881141345580727,4.111708798578148,1,0.024527230660220185,24.478176198899746,0.712702750004521,0.022843327209353448,3.9376056660330505,253.96143870532677,500,T20_L2d128ff512_H10_ne2,0.0,1
1,9.9,43.818641381976505,3.243116312286543,2.0522470807254827,2.907971713626418,0,0.0234980080164745,23.45101200044155,0.6987772898763321,0.02514424454793334,3.8659925940373796,258.66578263557096,500,T20_L2d128ff512_H10_ne2,0.0,2
1,4.3500000000000005,18.359164176876998,0.11107399204026658,0.6919020370261947,2.2002660207820472,0,0.025194828863253815,25.144439205527306,0.696513353274779,0.01795801114663482,3.9683106080010475,251.99640320083938,500,T20_L2d128ff512_H10_ne2,0.0,3
1,4.75,19.101314776213616,0.06187397880366963,0.6395512960735718,2.8870078083900883,1,0.023200098186253546,23.15369798988104,0.6192952795684705,0.018200969114899636,4.0774854559913365,245.24918869560395,500,T20_L2d128ff512_H10_ne2,0.0,4
1,4.15,14.773006480198758,2.799623467614051,0.45190027085347084,2.3759503030830853,0,0.02483243607955132,24.782771207392216,0.6456433357975401,0.01813958080485463,3.885885022020375,257.341633716191,500,T20_L2d128ff512_H10_ne2,0.0,5
1,7.45,21.874591055284544,0.16696178609820844,0.26667089757662216,2.2912896608193933,0,0.028395429858284627,28.338638998568058,0.792387832496366,0.02033791706711054,3.9798017039611295,251.26880040397282,500,T20_L2d128ff512_H10_ne2,0.0,6
1,9.75,41.16368065855786,0.15528334832719254,1.090954462285711,3.1609070271283395,1,0.02645175110451683,26.398847602307796,0.783350057561688,0.026037368208169938,3.654700511999181,273.6202314572101,500,T20_L2d128ff512_H10_ne2,0.0,7
1,11.100000000000001,30.609110612526155,1.0447773826047595,0.9958109195782465,4.220595596326829,0,0.024034176111400487,23.986107759177685,0.7107486135406104,0.022658421404659748,3.4895297560051404,286.57156405647424,500,T20_L2d128ff512_H10_ne2,0.02,0
0,,39.485849799706536,0.5659999900307572,,,0,0.028332728131082587,28.276062674820423,0.8125884438584103,0.026190383296459913,3.229889545988044,309.6081106680983,500,T20_L2d128ff512_H10_ne2,0.02,1
0,,32.868454222047546,0.061957793070321496,,,0,0.023521518532582417,23.474475495517254,0.6942410710854232,0.023257867295295002,3.1915316760059795,313.3291790640923,500,T20_L2d128ff512_H10_ne2,0.02,2
0,,30.64032546579405,2.0473807732216036,,,0,0.023454749542391132,23.40784004330635,0.7238332060622611,0.022666800010949374,3.1496533780136815,317.4952542335458,500,T20_L2d128ff512_H10_ne2,0.02,3
0,,50.131165055374915,1.180718180560142,,,0,0.027607890529061607,27.552674748003483,0.8633074287264572,0.03133315530791879,3.2023875179911556,312.26701777406873,500,T20_L2d128ff512_H10_ne2,0.03,0
0,,41.16500475220739,1.0329041928289562,,,0,0.026833037336269218,26.77937126159668,0.8116683487342764,0.02778231322020292,3.209423843993136,311.5824050075633,500,T20_L2d128ff512_H10_ne2,0.03,1
0,,39.902326183750915,1.3252843995786328,,,0,0.02434628768889364,24.297595113515854,0.7590675110592663,0.026165304087102412,3.183070617977137,314.1620529410393,500,T20_L2d128ff512_H10_ne2,0.03,2
0,,46.74970454792837,0.42582484201282167,,,0,0.025686146030743758,25.63477373868227,0.7884100291108759,0.02932360043376684,3.21720455797913,310.8288521846881,500,T20_L2d128ff512_H10_ne2,0.03,3
0,,55.590050962197054,1.22435173916304,,,0,0.027908517827908836,27.852700792253017,0.8837473409520604,0.03287146210670471,3.172722238005008,315.18674658037355,500,T20_L2d128ff512_H10_ne2,0.04,0
0,,47.77644282836707,1.2273549253629958,,,0,0.025835244907047562,25.783574417233467,0.8171379136537317,0.029957636006176472,3.1773799380080163,314.7247164363121,500,T20_L2d128ff512_H10_ne2,0.04,1
0,,52.46675608596209,0.34976072168345773,,,0,0.02391520120158702,23.867370799183846,0.7652221729502319,0.02965386675298214,3.3940472499980388,294.6334939799609,500,T20_L2d128ff512_H10_ne2,0.04,2
0,,47.39807156651284,0.23923265547117278,,,0,0.024491147222165353,24.442164927721024,0.7893310514934407,0.029640608932822943,3.2026107420169865,312.2452525623534,500,T20_L2d128ff512_H10_ne2,0.04,3
0,,46.77302577923839,1.135295571868748,,,0,0.02255393923045638,22.508831351995468,0.6995747192000232,0.030033607840538025,3.239295449990095,308.70910524788894,500,T20_L2d128ff512_H10_ne2,0.05,0
0,,47.95197406887,0.5871042948696964,,,0,0.02565562759408492,25.60431633889675,0.8049230579576523,0.030843055691570042,3.2347240619892546,309.1453802044033,500,T20_L2d128ff512_H10_ne2,0.05,1
0,,44.534552010165825,0.783586396213939,,,0,0.02544595459420122,25.395062685012817,0.8109865846350505,0.029839045185595752,3.170622697996805,315.395458637131,500,T20_L2d128ff512_H10_ne2,0.05,2
0,,41.50330001180823,1.1136729880128988,,,0,0.024844715942839584,24.795026510953903,0.7253669272841478,0.029428026396781205,3.2134234979930625,311.19458752465965,500,T20_L2d128ff512_H10_ne2,0.05,3
0,,64.60199749960883,0.37462275959869284,,,0,0.029700591525656427,29.641190342605114,0.9467531227853034,0.03427512784302235,1.6570839539926965,603.4697261961463,500,T20_L2d128ff512_H10_ne4,0.0,0
0,,66.17803503762104,3.119945509049719,,,0,0.02929580537135711,29.237213760614395,0.8742498859147088,0.03344767607375979,1.6580711959868495,603.1104107111762,500,T20_L2d128ff512_H10_ne4,0.0,1
0,,59.44114268829433,3.319199196394913,,,0,0.026922611672737316,26.868766449391842,0.8488872495510347,0.033196322221308944,1.6975934780148236,589.0691811383525,500,T20_L2d128ff512_H10_ne4,0.0,2
0,,68.94487757751217,3.7359106759730025,,,0,0.029974624014390494,29.914674766361713,0.9681615823605116,0.03800737426057458,1.6387129339927924,610.2350077651845,500,T20_L2d128ff512_H10_ne4,0.0,3
0,,61.12797753963832,2.315509190077368,,,0,0.0268783979565801,26.824641160666943,0.8476742304177419,0.03561590972542763,1.6528441139907954,605.0177336963121,500,T20_L2d128ff512_H10_ne4,0.0,4
0,,59.53631861181984,3.2795717545419203,,,0,0.024142254494832368,24.093969985842705,0.7778132758401645,0.03397416660189628,1.6402992100065603,609.6448708257321,500,T20_L2d128ff512_H10_ne4,0.0,5
0,,63.29869443895614,1.6957462295577685,,,0,0.025012491013339622,24.962466031312943,0.8080433259069164,0.03438705584034324,1.6156989059963962,618.9272000424505,500,T20_L2d128ff512_H10_ne4,0.0,6
0,,52.6105609420933,0.11133775089712143,,,0,0.025593670499408413,25.542483158409595,0.8129486271095094,0.03042921731621027,1.6262425480126694,614.9144241872397,500,T20_L2d128ff512_H10_ne4,0.0,7
0,,64.44158091619273,2.3274901272000355,,,0,0.02625548827624273,26.202977299690247,0.8305113449077799,0.035093143329024315,1.650012288002472,606.0560925946885,500,T20_L2d128ff512_H10_ne4,0.02,0
0,,67.23835136457181,2.790620231478468,,,0,0.02852278086310159,28.46573530137539,0.9157358309865445,0.0363653424680233,1.6539701220044662,604.6058430536145,500,T20_L2d128ff512_H10_ne4,0.02,1
0,,65.1581130719205,1.5259530385894806,,,0,0.027701374329999837,27.645971581339836,0.9069689080830547,0.0373693018220365,1.6334399720090005,612.2049277207782,500,T20_L2d128ff512_H10_ne4,0.02,2
0,,53.85849381559355,3.4659520268132793,,,0,0.024166119794449013,24.117787554860115,0.8017873425933583,0.033804672844707964,1.630652956013364,613.2512723276261,500,T20_L2d128ff512_H10_ne4,0.02,3
0,,70.34822575719275,2.5701260224937257,,,0,0.027669053487405032,27.61371538043022,0.8976144951088635,0.038050451811403034,1.6439755259852973,608.2815614914108,500,T20_L2d128ff512_H10_ne4,0.03,0
0,,70.80949976023905,3.940969594486165,,,0,0.02906416193815415,29.00603361427784,0.9114187595779091,0.036344074219465256,1.644355905986231,608.1408509918859,500,T20_L2d128ff512_H10_ne4,0.03,1
0,,65.80536105905074,0.2348812136932846,,,0,0.028827938443434262,28.770282566547394,0.9050706552924606,0.03409857166931033,1.6683253700048226,599.4034604875122,500,T20_L2d128ff512_H10_ne4,0.03,2
0,,63.719388181907895,2.8666751457826862,,,0,0.027251941094059266,27.197437211871147,0.871327269087309,0.034613876909017564,1.6371818580209947,610.8056933936391,500,T20_L2d128ff512_H10_ne4,0.03,3
0,,62.361963880472835,1.7554692649502601,,,0,0.027615555899893354,27.560324788093567,0.8176679670994155,0.03345754136517644,1.6246333639846853,615.5234911262271,500,T20_L2d128ff512_H10_ne4,0.04,0
0,,71.87195506221451,2.6138943232156087,,,0,0.02867791571006746,28.620559878647327,0.9095638622154105,0.037056490901857614,1.6372808659962175,610.7687573759933,500,T20_L2d128ff512_H10_ne4,0.04,1
0,,63.6279003754548,1.3676339811106253,,,0,0.027711098129023053,27.655675932765007,0.8679077730664114,0.03572519285976887,1.6220868179971148,616.4898135568096,500,T20_L2d128ff512_H10_ne4,0.04,2
0,,62.22143255832723,1.0212690912386821,,,0,0.027343191743972067,27.288505360484123,0.8734558687789182,0.03599609411880374,1.644944397992731,607.9232837415451,500,T20_L2d128ff512_H10_ne4,0.04,3
0,,69.11805992430338,2.3730141564245804,,,0,0.029108446173534124,29.050229281187057,0.9080394480800257,0.03827764934673905,1.7941327859989542,557.3723460179735,500,T20_L2d128ff512_H10_ne4,0.05,0
0,,68.93542759253366,2.5463002002995796,,,0,0.030952058456285684,30.89015433937311,1.0007436313616287,0.039684555429965254,1.6504256579992216,605.9042981749812,500,T20_L2d128ff512_H10_ne4,0.05,1
