model,arch,timesteps,horizon,n_exec,epochs,learning_rate,n_params,test_loss,n_nominal_trials,success_rate,time_to_success_s_mean,iae_angle_mean,iae_angle_std,final_angle_err_mean,ss_angle_err_mean,held_to_end_rate,mean_abs_du_mean,control_tv_mean,rms_jerk_mean,mean_abs_u_mean,infer_ms_mean,infer_ms_std,control_hz_mean
T20_L2d128ff512_H10_ne1,transformer,20,10,1,,,,,8,1.0,4.7875,9.134350316942427,3.512362587750324,0.1220487137633418,0.09806612893166981,1.0,0.027750925813243538,27.695423961617053,0.6665660688710946,0.016035058801062405,6.7184259422442665,0.710007387445586,150.21720694448925
T20_L2d128ff512_H10_ne2,transformer,20,10,2,,,,,8,1.0,6.80625,25.08697375226265,11.343035772160578,0.8423432228261334,0.7950754869017005,0.5,0.024524560976467415,24.47551185451448,0.6936899272828713,0.020398207908961925,3.9064371245046914,0.11482613606169204,256.21519236544157
T20_L2d128ff512_H10_ne4,transformer,20,10,4,,,,,8,0.0,,61.967450541942995,4.686086981105107,2.2439803832613134,,,0.027190055818537732,27.135675706900656,0.8605664124857364,0.034166606235317885,1.648318292499198,0.023260520152570605,606.7985693203243
