epoch,train_loss,val_loss
266,0.042077,0.049968
267,0.041970,0.049952
268,0.041769,0.049925
269,0.041838,0.049912
270,0.041186,0.049890
271,0.041498,0.049861
272,0.042058,0.049837
273,0.041388,0.049831
274,0.041689,0.049816
275,0.041984,0.049812
276,0.041587,0.049824
277,0.041844,0.049814
278,0.041498,0.049803
279,0.041838,0.049790
280,0.041701,0.049812
281,0.041607,0.049819
282,0.040925,0.049821
283,0.041051,0.049785
284,0.041363,0.049757
285,0.041489,0.049740
286,0.041562,0.049721
287,0.041455,0.049706
288,0.041279,0.049693
289,0.041420,0.049698
290,0.040991,0.049705
291,0.041110,0.049704
292,0.041348,0.049689
293,0.040918,0.049649
294,0.040928,0.049618
295,0.040996,0.049598
296,0.041157,0.049592
297,0.040929,0.049558
298,0.041310,0.049546
299,0.041076,0.049545
300,0.041086,0.049531
301,0.040826,0.049517
302,0.040603,0.049508
303,0.041019,0.049474
304,0.040890,0.049469
305,0.040404,0.049459
306,0.040568,0.049456
307,0.040525,0.049452
308,0.041064,0.049445
309,0.040513,0.049427
310,0.041126,0.049410
311,0.040732,0.049405
312,0.040645,0.049415
313,0.040183,0.049399
314,0.040399,0.049389
315,0.040706,0.049376
316,0.040588,0.049384
317,0.040392,0.049384
318,0.040435,0.049379
319,0.040920,0.049386
320,0.040125,0.049393
321,0.040489,0.049399
322,0.040845,0.049386
323,0.040026,0.049380
324,0.040502,0.049357
325,0.040544,0.049351
326,0.040495,0.049352
327,0.040150,0.049351
328,0.040152,0.049354
329,0.040821,0.049350
330,0.040307,0.049328
331,0.040427,0.049333
332,0.039846,0.049329
333,0.040340,0.049317
334,0.040603,0.049312
335,0.039901,0.049308
336,0.039645,0.049321
337,0.040516,0.049320
338,0.040186,0.049308
339,0.040068,0.049299
340,0.039796,0.049299
341,0.040463,0.049291
342,0.040367,0.049278
343,0.040540,0.049282
344,0.040454,0.049287
345,0.040009,0.049286
346,0.040266,0.049280
347,0.039951,0.049265
348,0.039625,0.049254
349,0.039920,0.049251
350,0.040168,0.049235
351,0.039547,0.049233
352,0.039999,0.049232
353,0.040190,0.049240
354,0.039923,0.049233
355,0.039864,0.049233
356,0.040402,0.049215
357,0.040034,0.049205
358,0.039911,0.049207
359,0.039911,0.049217
360,0.040149,0.049227
361,0.039662,0.049234
362,0.040175,0.049235
363,0.039793,0.049235
364,0.040045,0.049230
365,0.039702,0.049232
366,0.039900,0.049233
367,0.039508,0.049232
368,0.039791,0.049220
369,0.039497,0.049215
370,0.039736,0.049207
371,0.039775,0.049206
372,0.039655,0.049206
373,0.039522,0.049204
374,0.039694,0.049206
375,0.039602,0.049203
376,0.039958,0.049194
377,0.040263,0.049193
378,0.039344,0.049191
379,0.039302,0.049189
380,0.039442,0.049191
381,0.040424,0.049188
382,0.039876,0.049187
383,0.039813,0.049190
384,0.039168,0.049189
385,0.039811,0.049184
386,0.039492,0.049181
