u1,u2
2.000000000000000042e-02,5.160415309271740823e-03
2.000000000000000042e-02,1.895001929816009668e-03
2.000000000000000042e-02,8.047830237861442956e-03
2.000000000000000042e-02,-3.100627971939820191e-03
2.000000000000000042e-02,2.000000000000000042e-02
2.000000000000000042e-02,-1.768348027921139501e-02
2.000000000000000042e-02,-2.000000000000000042e-02
2.000000000000000042e-02,-2.000000000000000042e-02
-2.000000000000000042e-02,-2.000000000000000042e-02
-2.000000000000000042e-02,-2.000000000000000042e-02
-2.000000000000000042e-02,-2.000000000000000042e-02
-8.161852149904913825e-03,-2.000000000000000042e-02
2.000000000000000042e-02,-1.723851802699824780e-03
2.000000000000000042e-02,2.000000000000000042e-02
2.000000000000000042e-02,-1.355354083622735059e-02
2.000000000000000042e-02,-2.000000000000000042e-02
2.000000000000000042e-02,-2.000000000000000042e-02
2.000000000000000042e-02,2.000000000000000042e-02
2.000000000000000042e-02,2.000000000000000042e-02
2.000000000000000042e-02,2.000000000000000042e-02
2.000000000000000042e-02,2.000000000000000042e-02
2.000000000000000042e-02,2.000000000000000042e-02
2.000000000000000042e-02,1.289426049916576889e-02
2.000000000000000042e-02,1.321118589141134086e-02
2.000000000000000042e-02,8.965946673681883528e-03
2.000000000000000042e-02,1.037387340470143256e-02
2.000000000000000042e-02,7.328445838141709953e-03
-1.353450524136695469e-02,-3.539703915981393112e-03
1.514145604908828310e-02,4.947137046914086220e-03
-1.408138119263383295e-02,-4.063780348993363198e-03
1.453193707393348258e-02,4.522838064697688558e-03
-1.408093968885552015e-02,-4.177463904962140130e-03
1.414734496116396706e-02,4.305166296718149210e-03
-1.391456233383643257e-02,-4.153833771170170261e-03
1.387090399836135406e-02,4.173198108215773507e-03
-1.372888510294963810e-02,-4.096428510419742978e-03
1.366720938933344183e-02,4.085231348872286027e-03
-1.357959963651468593e-02,-4.043788715054790102e-03
1.353121951457888356e-02,4.029008387745757966e-03
-1.348892304337031764e-02,-4.010947861058333092e-03
1.339605160279124310e-02,3.973570823936013220e-03
